,churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,document_score,magnitude,max_score,min_score,mean_score,std_score,max_weighted_score,min_weighted_score,mean_weighted_score,std_weighted_score
268,yes,"Customer: Well, I just called the TelCom line for a month and I never got anyone on the phone. It's not the first time and I'm very confused.
TelCom Agent: Oh, that's alright. So I see you remember a few months ago you mentioned to me that you liked the service and now you're unhappy. So I'd like to talk to you about something. What would you like to do first?
Customer: Well, I'd like to stop using TelCom.
TelCom Agent: Okay. So you'd like to appoint me as your agent to end your contract.
Customer: Yes.
TelCom Agent: Okay, we'll actually",PA,122,area_code_415,yes,no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,-0.20000000298023224,5.0,0.4000000059604645,-0.800000011920929,-0.2545454576611519,0.4579869774266902,0.16000000476837162,-0.6400000190734865,-0.2290909146991644,0.3089705723018585
269,no,"Customer: I have been using Telcom for about 3 years now and I really enjoy using their services. I have a personal line and their rates are great. I have never had an issue with the service. However, I really need to upgrade my phone service to a new phone.
TelCom Agent: I'm sorry Lara, you're out of luck. I don't offer any phone upgrades or upgrades on the existing lines. I would have to make a referral or give you a store credit or something to purchase the phone.
Customer: I don't know. I've tried calling and everything has been the same. I've",OK,121,area_code_408,no,yes,31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,-0.10000000149011612,6.699999809265137,0.8999999761581421,-0.8999999761581421,-0.12000000476837158,0.6896375799672126,0.8099999570846563,-0.8099999570846563,-0.038000006198883086,0.5668650492912509
270,no,"Customer: You know I know the data is more important for me but i don't want to give up my voice and the value you have given me is amazing and i know it's future proofing.
TelCom Agent: Hmm, maybe another component that you haven't touched on. How about network access?
Customer: I'm not sure if i'll be able to upgrade to 300 Mbit service as i have a 20 year contract.
TelCom Agent: That's not a bad thing. Your contract comes to an end on the 30th of this month but I can have it upgraded on the 31st,",CT,54,area_code_415,no,yes,33,161.8,73,27.51,273.0,58,23.21,153.9,76,6.93,13.7,4,3.7,0,0.0,1.2000000476837158,0.30000001192092896,-0.30000001192092896,-0.05000000074505806,0.180277570592383,0.09000000715255752,-0.09000000715255752,-0.005000000149011613,0.05220153666937004
271,no,"Customer: That's a good question. I really need to downgrade my data plan here.
TelCom Agent: Ahh yes, I see, thank you Nolan. Many customers like to downgrade their data plans, can you please let me know which plan you would like to downgrade to.
Customer: Oh yes I can't do that. Please just give me a few days to think about it and we'll give you a call back shortly.
TelCom Agent: Ahh yes, of course, I'm glad to hear that Nolan. Glad you're happy with the service.
TelCom Agent: By the way, have",VA,95,area_code_415,no,no,0,197.0,88,33.49,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35,0,0.0,6.099999904632568,0.8999999761581421,-0.8999999761581421,0.03333333465788099,0.6960204289160582,0.8099999570846563,-0.8099999570846563,0.034444444974263654,0.5651570149446092
272,no,"Customer: All three simultaneously.
TelCom Agent: All right, well don't forget to cancel your current TelCom service so we can offer you the best prices possible. Oh and I would like to offer you one of our promotional offers.
Customer: Sure, I'm more than happy to receive those.
End of hour two. Customer: I call TelCom after every hour of my working day. I have had no issues and have never had to wait for a supervisor to call me back.
Customer: I know TelCom is a high-speed provider but I also see they are a low-cost provider. I have",AZ,73,area_code_415,no,no,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,0.20000000298023224,3.4000000953674316,0.800000011920929,-0.4000000059604645,0.2222222247057491,0.3794082503739569,0.6400000190734865,-0.16000000476837162,0.15555555870135634,0.2561297943088989
273,no,"Customer: Voice, text and data.
TelCom Agent: Okay, is that all?
Customer: Yes, yes, yes, no problem. I'll get right on it.
TelCom Agent: Thank you Robert. And what is the last date you wanted to upgrade your service?
Customer: October 2015.
TelCom Agent: Okay, I don't have a set date for you to upgrade. We are just doing some budget analysis, so we need to make sure that you are satisfied with our overall pricing structure. Do you have any questions for me regarding that?
Customer: No, not really though,",OH,78,area_code_415,no,yes,27,121.9,88,20.72,225.4,75,19.16,90.8,118,4.09,13.0,4,3.51,3,0.0,3.299999952316284,0.5,-0.6000000238418579,-0.009090912613001738,0.32038201082097795,0.25,-0.36000002861023006,0.0009090878204865174,0.15364981891852392
274,no,"Customer: I would like to upgrade my voice. I am in the US.
TelCom Agent: Great, I'm happy to upgrade our services to allow you to talk with us through the app. And I'd like you to check your old phone for any fraudulent charges or settings that may have changed since you've been calling TelCom. Would you like to try your old number comparisons?
Customer: Sure. I can't find it.
TelCom Agent: Okay, I'm able to find it for you. You can try your old dial-up number here...
Customer: No it doesn't work on my old",KY,57,area_code_415,no,yes,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,-0.10000000149011612,4.199999809265137,0.800000011920929,-0.800000011920929,-0.10000000149011612,0.47116876754533005,0.6400000190734865,-0.6400000190734865,-0.07600000226497652,0.3485168681724764
275,no,,WI,140,area_code_415,no,no,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,,,,,,,,,,
276,yes,"Customer: I have been told that my contract is ending in July, but it's been in effect since April. My internet is 24/7 and my phone is already calling home, but I'm still not getting any service. I have tried putting my phone in another area because the only option is for me to move somewhere else, and I can't find any option that allows me to keep my phone and still get internet. It's wrong.
TelCom Agent: My dear Marie, your contract is only for 12 months, so please take a look at the rest of your package options.
Customer: Ok, I'll look at them. I have one of the three packages.",NH,74,area_code_408,no,no,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2,-0.5,3.5999999046325684,0.0,-0.8999999761581421,-0.485714282308306,0.3522522232849212,0.0,-0.8099999570846563,-0.3599999928474428,0.3039736735584957
277,no,"Customer: I'm looking for a $75 upgrade for Voice, $50 for Text and $25 for Data, but I'm not sure what bill would be going up.
TelCom Agent: Ok Devora, what is the year, month and day. I can do this for you.
Customer: The year is 2015 and the month is March 20th and the day is February 22nd.
TelCom Agent: Ok Devora. Is there anything else I can help you with today?
Customer: Yeah, like can you show me my current billing statement?
TelCom Agent: Sure Devora",IL,151,area_code_415,yes,no,0,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35,0,-0.10000000149011612,1.7999999523162842,0.20000000298023224,-0.4000000059604645,-0.1250000037252903,0.18540496669825396,0.040000001192092904,-0.16000000476837162,-0.040000002309680024,0.06204837097971716
278,no,"Customer: I'm on the medium plan and would like to upgrade to the high plan.
TelCom Agent: I'm sorry, I don't do that. What's your current plan?
Customer: Well technically I'm on the 1gb high plan but I only use 100mb of data. Can I make the upgrade to the 500gb plan without paying an upgrade fee?
TelCom Agent: Actually I'm sorry, there's no fee for that upgrade. Did you want me to do it?
Customer: No, I wanted to upgrade to the 1gb high plan. I was confused by the 500",KS,116,area_code_510,no,no,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,-0.30000001192092896,3.200000047683716,0.0,-0.800000011920929,-0.31111111326350105,0.26010444453274717,0.0,-0.6400000190734865,-0.16444444686174395,0.1991711267778914
279,no,"Customer: I would like to upgrade to unlimited data.
TelCom Agent: Great, thanks. So can you come back later and review your options?
Customer: Sure, no problem. I'll be back in a jiffy.
TelCom Agent: Great, and now that you've taken my call what would you like to do?
Customer: I want to upgrade to unlimited data.
TelCom Agent: Great, thanks again for your support today. And can you please forward me the details of your next meeting please?
Customer: Sure, no problem. Sorry to put you through to the",FL,161,area_code_415,yes,no,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,0.10000000149011612,4.5,0.8999999761581421,-0.30000001192092896,0.1636363620107824,0.44163483171055634,0.8099999570846563,-0.09000000715255752,0.17454545324498963,0.3258098602817433
280,no,"Customer: I would like to upgrade my voice service to the T1 service.
TelCom Agent: That's great news. That's what I always tell new customers. You can order the new service online through our website. Just click on the click button on the top left of this screen and you will be directed to the order process. Great! So you're calling from the United States? (TelCom Agent appeared puzzled)
Customer: Yes, this is my first time calling you.
TelCom Agent: Yes, you're right. It is the first time I've actually seen this phone number.
TelCom Agent",AZ,97,area_code_408,no,yes,25,141.0,101,23.97,212.0,85,18.02,175.2,138,7.88,4.9,2,1.32,3,0.10000000149011612,3.5,0.8999999761581421,-0.30000001192092896,0.11818181384693492,0.37128323083200776,0.8099999570846563,-0.09000000715255752,0.1099999939311635,0.2681247899551204
281,no,"Customer: Those are the only options that I am considering.
TelCom Agent: Fantastic, so would you like me to take a look at what I can do for you today?
Customer: Absolutely, sure. I would like you to start by making sure my services are working well for me and the quality of the service is as high as it could possibly be.
TelCom Agent: Great. And then to do that, if you would like, would you like me to check my current line speed to see if I am getting the service with the speeds I'm paying for?
Customer: Sure, sure.
Tel",PA,176,area_code_415,no,no,0,169.5,151,28.82,112.9,84,9.6,56.6,99,2.55,8.7,4,2.35,0,0.30000001192092896,4.400000095367432,0.800000011920929,-0.4000000059604645,0.3000000026077032,0.4555216832915946,0.6400000190734865,-0.16000000476837162,0.21750000312924392,0.30970752887670244
282,no,"Customer: I would like to upgrade my voice and text rates to 100 KB.
TelCom Agent: 100 KB over 100 minutes. So that means you'd be paying for the talk and text 100 times a month?
Customer: Yes, 100 by the minute.
TelCom Agent: Great, because we have a plan with 100 KB for $15.00. And now, how can I help you today?
Customer: I would like to upgrade my data to 5 GB.
TelCom Agent: 5 GB over 10 minutes. So that means you'd be paying for the data each time 10 seconds?
Customer: Yes",HI,98,area_code_415,no,yes,31,181.6,112,30.87,220.7,100,18.76,236.3,121,10.63,12.9,4,3.48,2,0.0,3.700000047683716,0.699999988079071,-0.6000000238418579,-0.040000003576278684,0.38522720956878587,0.4899999833106996,-0.36000002861023006,-0.0020000042319298196,0.21811923534678532
283,no,"Customer: I'm interested in upgrading my data portion. Can you give me a short description of what I need to do to make that happen?
TelCom Agent: Sure. We have a plan that we've been offering for years that has a monthly rate of $49.00 per month and it offers a $10.00 per month discount for customers who are on the Smartphone plan. So it's compatible with all Smartphone plans as well as the AT Wireless and T-Mobile plans. You'll need to go to your My Account page in TelCom and click on the Add to Cart button. When you do that you",AZ,134,area_code_415,no,yes,40,142.9,105,24.29,88.6,61,7.53,290.0,96,13.05,10.8,6,2.92,1,0.0,1.0,0.20000000298023224,-0.10000000149011612,0.028571428997176036,0.11605769322419379,0.040000001192092904,-0.010000000298023226,0.00857142882687705,0.020303815467317833
284,no,"Customer: I'm very happy with the voice service, but I'd like to upgrade to text.
TelCom Agent: Okay, what's your cell phone number?
Customer: It's 1449789110.
TelCom Agent: Okay, how can I help you today?
Customer: You know that's based on your name, correct?
TelCom Agent: It is correct, and it's 994-480-1984.
Customer: I'm sorry I can't give you that because my name is Richard. I want to upgrade from SMS.
TelCom Agent: Okay, can I double check",OH,119,area_code_415,no,yes,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8.0,5,2.16,2,-0.10000000149011612,2.0999999046325684,0.20000000298023224,-0.800000011920929,-0.13333333532015482,0.26666667064030963,0.040000001192092904,-0.6400000190734865,-0.0777777800957362,0.20009874702101485
285,no,"Customer: I would like to upgrade my voice service to something better.
TelCom Agent: Okay, and what would you like to be upgraded to?
Customer: I would like to upgrade my speed to 128 kbps.
TelCom Agent: Okay, I will go through the upgrade process right now with the technician.
Customer: Okay, I have recorded the video below which will explain everything and how to do the upgrade.
TelCom Agent: Okay, is there anything else I can assist you with today?
Customer: I would like to know when I am going to get my phone call back.
TelCom",DE,89,area_code_510,yes,no,0,125.6,108,21.35,213.0,90,18.11,181.7,108,8.18,5.4,5,1.46,1,-0.20000000298023224,2.4000000953674316,0.30000001192092896,-0.6000000238418579,-0.1875000037252903,0.26663412045526297,0.09000000715255752,-0.36000002861023006,-0.08375000379979618,0.1387387464759974
286,no,"Customer: I'd like to upgrade my voice, data and text.
TelCom Agent: Which one would you like to upgrade from?
Customer: I'm not sure. Probably all four.
TelCom Agent: Alright, I'll do some initial research to determine which one you'd like to upgrade from. I'm not sure if you have any outages currently in your service, so I'll start the process of getting your service up and running again. So you have a plan in place right?
Customer: Yes, my contract is up in the next 2 weeks. I'll do my best to try and get as",MI,105,area_code_510,no,no,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,0.0,2.5,0.5,-0.5,-0.0666666684879197,0.2943920327957046,0.25,-0.25,-0.015555556515852628,0.1285916127889841
287,no,"Customer: Voice and text would be fine. I am planning on upgrading my contract to Internet in the next month. Also, are there any packages I can upgrade now?
TelCom Agent: No, I do not offer these options to our customers now. My name is Jose again. I'm sorry my name is not Jose Martinez. Can you please give me your postal address?
Customer: Well, my address is an out of the way little town in Wisconsin. Located just off of 593 and 106.
TelCom Agent: That's where you want to go to for your Internet upgrade. I'm sorry but I can't",MN,92,area_code_510,no,no,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,-0.20000000298023224,3.700000047683716,0.20000000298023224,-0.800000011920929,-0.23636363514445044,0.34973425498010846,0.040000001192092904,-0.6400000190734865,-0.16909090776335114,0.24141456345486906
288,no,,NM,25,area_code_415,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,,,,,,,,,,
289,no,"Customer: I would like to upgrade my voice service to a personal phone right now. I have a Verizon phone and I have been very happy with it, but I would love to have a personal phone.
TelCom Agent: Okay, that would be fine. Just remember that you would need to give us a deposit first. I have a deposit for all new customers. I'm afraid that you would not receive that deposit back if you upgrade to a personal phone. You may want to limit your upgrade to a couple of months at a time. You're still eligible for a refund if you decide not to upgrade. If you do decide to",NV,162,area_code_415,no,no,0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2,-0.10000000149011612,3.0,0.5,-0.800000011920929,-0.15555556035704082,0.32697642548982375,0.25,-0.6400000190734865,-0.07333333734009005,0.22196096301143714
290,no,"Customer: I would like to upgrade my voice and text packages to the voice and text plans.
TelCom Agent: Great! What are the details for your upgrade?
Customer: Well the start of the upgrade is voice for $38.95 a month and then a 30 day free trial for the text plan which is another $18.95 a month.
TelCom Agent: Great! So those are the start up charges for voice and text. I'm going to need your billing address, date of birth, your daytime and nighttime phone numbers.
Customer: Great, thank you. D-",MI,142,area_code_415,yes,no,0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1,0.10000000149011612,4.699999809265137,0.8999999761581421,-0.6000000238418579,0.13333332124683592,0.5734883451984936,0.8099999570846563,-0.36000002861023006,0.1933333147565525,0.4488008565717358
291,no,"Customer: I would like to upgrade to Voice Plus. In order to do this I would like to make one additional payment of $50 per month for the first 12 months, then $60 per month for each additional year of service.
TelCom Agent: Oh good. I appreciate the extra service and you can proceed to the next question. Can you please give me a few numbers of contact you have for me to arrange your upgrade to Voice Plus, and when would you like to receive your new Voice Plus package?
Customer: I will be calling you at TelCom at (866) 726-2244.
TelCom Agent",NJ,67,area_code_415,no,no,0,178.0,77,30.26,233.6,88,19.86,175.6,88,7.9,6.3,4,1.7,2,0.0,2.4000000953674316,0.8999999761581421,-0.4000000059604645,-5.32184328351702e-09,0.43424811558511067,0.8099999570846563,-0.16000000476837162,0.06857142103569855,0.3141168248620246
292,no,"Customer: I'm still on segment 2 voice.
TelCom Agent: Um, I'm sorry Annie, I don't have any rooms on that, would you like to upgrade to segment 3 where it is data only and then we will get that ready?
Customer: Well, I am still on segment 2 voice.
TelCom Agent: Well then you will still be on segment 2 voice. Have you checked your billing statement yet?
Customer: I have, I'm still on segment 2 voice.
TelCom Agent: Alright, alright. Annie, you just updated your itemizer on the billing statement with the new channel",AR,79,area_code_408,no,no,0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,-0.20000000298023224,2.5,0.20000000298023224,-0.5,-0.21250000409781933,0.20271593675668825,0.040000001192092904,-0.25,-0.07625000245869164,0.08745534668035719
293,no,"Customer: I want to upgrade from the Internet that I receive now to one of the fiber lines that you offer the first it will be $100 a month for the first month and then increase to $70 a month after that.
TelCom Agent: Oh, wow. So you want to upgrade your Internet to fiber! Are you sure that's what you want to do?
Customer: Yes! Absolutely! I want fiber from TelCom!
TelCom Agent: Okay. So how long would that be for?
18 months?
Customer: Yes.
TelCom Agent: Well thanks and I'm sure we can",UT,74,area_code_415,no,no,0,106.4,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,0.10000000149011612,4.400000095367432,0.699999988079071,-0.5,0.16666666542490324,0.36132472131174187,0.4899999833106996,-0.25,0.10666666463017467,0.20881942805996118
294,no,"Customer: I am willing to upgrade my package to data only.
TelCom Agent: All right, I'll call up your current provider and see if there is any availability.
SMOOTH MUSIC SONG
Telcom Agent: Ready Stephanie. I'll start there and see if there's any availability.
Caller: Hi there, I'm calling from Telstra. I do not have any options available for data only. I'd like to upgrade my package to voice only.
TelCom Agent: Alright, that's in the back of mind if there's any availability for that.
Caller: Yeah, information",MA,93,area_code_415,no,yes,31,237.2,85,40.32,213.1,100,18.11,192.7,87,8.67,10.7,4,2.89,1,-0.10000000149011612,1.600000023841858,0.10000000149011612,-0.699999988079071,-0.13333333366447025,0.23094010562064402,0.010000000298023226,-0.4899999833106996,-0.06888888796170556,0.15176329342390438
295,no,"Customer: Voice.
TelCom Agent: Great, what is the current year you are currently with TelCom?
Customer: 2006-2007
TelCom Agent: Great. What would you like the new contract to include?
Customer: I have no idea.
TelCom Agent: I can provide you with an estimate on your contract as soon as we complete the upgrade. Just let me know what your current year is so I can update your information.
Customer: All right.
TelCom Agent: Thank you. I'll let you know as soon as we have an estimate for your current year. Good",IL,117,area_code_415,no,no,0,201.9,86,34.32,212.3,96,18.05,176.9,98,7.96,7.8,10,2.11,1,0.10000000149011612,3.299999952316284,0.800000011920929,-0.6000000238418579,0.1090909093618393,0.34760099472255795,0.6400000190734865,-0.36000002861023006,0.059999999891627895,0.22863230638060109
296,no,"Customer: Dial and Text.
TelCom Agent: Oh, that's great Brenda. And how long will it take for the upgrade to be completed?
Customer: It's about 9 minutes right now.
TelCom Agent: Thank you Brenda. And can you walk me through the process of upgrading your service?
Customer: Sure, I'll walk you through it. If you have any questions please don't hesitate to ask me.
TelCom Agent: Thank you for your time. Now, can you move your call to my supervisor so he can check the status of this?
Customer: Sure, sure.
TelCom",PA,140,area_code_408,no,no,0,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4,0,0.10000000149011612,4.5,0.6000000238418579,-0.5,0.11666666902601719,0.36704526487194195,0.36000002861023006,-0.25,0.06333333609004821,0.17370153766215018
297,no,"Customer: I just want to upgrade my voice.
TelCom Agent: Oh, so you have service? I am sorry, but I don't think that is possible. Do you live in a remote area?
Customer: Yes, I do.
TelCom Agent: Okay, I understand you live away from the city, but I just can't upgrade your voice service just because a customer called you a few months ago with a complaint about a defective voice in your service.
Customer: No, I can upgrade my voice and TelCom is supplying me with the number for the TelCom agent. I have been",AZ,117,area_code_408,no,no,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,-0.20000000298023224,2.4000000953674316,0.20000000298023224,-0.800000011920929,-0.21250000037252903,0.3295356589387975,0.040000001192092904,-0.6400000190734865,-0.14375000037252905,0.24692800251398886
298,no,"Customer: Oh, I'd like either SMS or Data.
TelCom Agent: Oh, alright. Well, why don't you come over to the front desk at my next planned time and I'll give you some instructions. Just a couple of minutes.
Customer: Okay. All right, bye. [Customer gets up and walks away]
TelCom Agent: You're through to TelCom. I cannot give you any information. It's your case into TelCom.
Customer: I'm sorry. I have to go now.
Thank you for your help with this case. As you may or may not know,",OR,155,area_code_408,no,yes,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,-0.10000000149011612,5.300000190734863,0.800000011920929,-0.800000011920929,-0.1538461561386402,0.4162384454753122,0.6400000190734865,-0.6400000190734865,-0.08153846373924845,0.3079422152865583
299,no,"Customer: The data upgrade.
TelCom Agent: Let me check the upgrade policy on my system and can you please give me the specific upgrade that you would like to have done?
Customer: I would like to upgrade my Internet service.
TelCom Agent: Hi there, your upgrade will cost approximately $45.00. Is that correct?
Customer: Yes that is correct.
TelCom Agent: Congratulations Craig. Now, I would like to know if there are any charges for the upgrade?
Customer: Not at this time.
TelCom Agent: I'll be right with you as soon as I can",AR,138,area_code_510,no,no,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3,-0.10000000149011612,2.299999952316284,0.4000000059604645,-0.699999988079071,-0.11000000014901161,0.28792360117959953,0.16000000476837162,-0.4899999833106996,-0.06099999913573269,0.16244691106310338
300,no,"Customer: I would like voice upgrade.
TelCom Agent: And what is your current plan?
Customer: My current plan is 3 years.
TelCom Agent: Very good, well done. How much would you like to charge for your new plan?
Customer: I would like to upgrade my plan to include voice.
TelCom Agent: Fantastic. So just to make that clear, what plan would you like to upgrade to?
Customer: My current plan is 3 years, voice, data.
TelCom Agent: Fantastic. So when would you like to upgrade to it?
Customer: I would like",AL,171,area_code_510,no,no,0,221.5,103,37.66,109.5,58,9.31,134.6,115,6.06,11.6,4,3.13,1,0.0,5.0,0.8999999761581421,-0.4000000059604645,0.1166666578501463,0.4758034069654043,0.8099999570846563,-0.16000000476837162,0.1716666542738677,0.3719281419694141
301,no,"Customer: I'd like to upgrade from voice, text and data.
TelCom Agent: Okay and what's the new contract price you need to have?
Customer: 25GBData, $175 with a two year contract.
TelCom Agent: Great, so you've asked for the new contract price and I'll quote it to you.
TelCom Agent: And what's the total cost of the service you're requesting?
Customer: $185.90 per month, $1,200.00 per year.
TelCom Agent: Great. And is there any reason you're requesting this new phone or any other",NV,93,area_code_408,no,no,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,0.0,2.700000047683716,0.800000011920929,-0.30000001192092896,-0.037500002421438694,0.34977672110078545,0.6400000190734865,-0.09000000715255752,0.0462500002607703,0.227812293122936
302,no,"Customer: All three.
TelCom Agent: We can do that. What's your first name?
Customer: Marcia.
TelCom Agent: Okay, thank you Marcia for taking the time to call us today. So what's your last name?
Customer: Smith.
TelCom Agent: Okay, thank you very much Smith for taking the time today to speak with us today. Well, there's nothing we can do for you today, sort of depends on the response you give in regard to your upgrade request. Now, I'm sorry to see that you've already been through with our phone",FL,120,area_code_415,no,no,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,0.0,3.4000000953674316,0.699999988079071,-0.6000000238418579,-0.01000000759959221,0.41581246051748016,0.4899999833106996,-0.36000002861023006,0.022999990850686935,0.2710000023458061
303,no,,PA,134,area_code_408,no,no,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5.0,9,1.35,1,,,,,,,,,,
304,no,"Customer: It's voice and text.
TelCom Agent: Awesome, let me call up our Network Operator and set that up for you. So you're booking a voice upgrade?
Customer: Yes.
TelCom Agent: You can't go through to the network operator right now, is that okay?
Customer: No, it's fine. Do you want to schedule the voice upgrade for another day?
TelCom Agent: No, we're not going to schedule it for another day now, OK? All right, what's your name again?
Customer: Michael.
TelCom Agent: Hi Michael, it",VA,132,area_code_510,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,-0.10000000149011612,2.5999999046325684,0.4000000059604645,-0.699999988079071,-0.118181819265539,0.2886274182186822,0.16000000476837162,-0.4899999833106996,-0.06818181899460884,0.17734497481705228
305,no,,TX,65,area_code_415,no,no,0,217.9,89,37.04,238.8,101,20.3,194.4,105,8.75,6.6,4,1.78,0,,,,,,,,,,
306,no,"Customer: I want to upgrade my contract to Fido and I'd like to have 2 mos of unlimited Talk & Text.
TelCom Agent: Thank you Andrew for your answer. I am sorry to hear about your dissatisfaction. Would you be willing to provide us with a copy of your contract so that we can give you an estimate on the cost of the upgrade?
Customer: Sure. Here it is.
TelCom Agent: Thanks Andrew. We will be in touch with you shortly.
Erika: Thank you for talking to TelCom and we hope to work with you again in the future. Please direct me to the",IL,110,area_code_408,no,no,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,0.10000000149011612,2.700000047683716,0.8999999761581421,-0.10000000149011612,0.1600000001490116,0.3199999982025476,0.8099999570846563,-0.010000000298023226,0.12199999871850027,0.2530533450504038
307,yes,"Customer: Oh, just the whole package. It's broken and I can't use it. I just can't. And I'm not paying for it and it's not even my plan.
TelCom Agent: Well, I'm sorry, I can't help you with that, I'm sorry. If you look at the online package, you'll see there's a $30 per month backup plan. It's called the Backup and Recovery plan and that's what you need to pay for to get this done.
Customer: And how do I get that?
TelCom Agent: Well, you can go to the phone call center and they'll tell you how",IN,116,area_code_415,no,no,0,271.0,114,46.07,209.9,71,17.84,193.5,109,8.71,13.7,2,3.7,5,-0.4000000059604645,4.099999904632568,0.0,-0.800000011920929,-0.41111111889282864,0.3142696862054716,0.0,-0.6400000190734865,-0.267777787744999,0.2824408692584396
308,no,"Customer: I'm only looking to upgrade my voice over internet service.
TelCom Agent: Great, that's very helpful. And what type of service would you like to upgrade from?
Customer: I'm interested in upgrading from voice to text as that's what I currently purchase.
TelCom Agent: Great, you've already covered the cost of your upgrade and it's extremely easy and straightforward. So please give me your name, phone number, all the details that we need such as your current contract, name of your current internet service provider and can you please allow me pause two minutes.
Tel",NY,112,area_code_408,no,yes,30,60.6,113,10.3,165.9,96,14.1,132.8,99,5.98,13.3,7,3.59,0,0.10000000149011612,3.299999952316284,0.8999999761581421,-0.5,0.17142856972558157,0.4919764380874054,0.8099999570846563,-0.25,0.17142856802259182,0.3662328845221917
309,no,"Customer: My main reason for upgrading was that I would like text but also would like to not have my phone number associated with the Telcom account.
TelCom Agent: Can you please provide me with the details for how you want to make this change?
Customer: I want to have both voice and text. I have a couple of numbers I would like to remove.
TelCom Agent: What are those numbers?
Question: Did you say that you wanted both voice and text on your account?
Customer: Yes, Yang Chen.
TelCom Agent: What is Yang Chen's number?
Customer: I",UT,96,area_code_415,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,-0.10000000149011612,1.7000000476837158,0.10000000149011612,-0.4000000059604645,-0.1111111127667957,0.1728483268656857,0.010000000298023226,-0.16000000476837162,-0.040000001192092904,0.06548961096637079
310,no,"Customer: I am looking for an upgrade on my current 2 year YesTel service plan and would like to upgrade to the 3 year YesTel service plan only.
TelCom Agent: Thank you Kevin. Does this plan include text, data and voice?
Customer: Yes.
TelCom Agent: Thank you, Kevin. Can you tell me a little bit more about why you are requesting an upgrade?
Customer: I am looking for an upgrade on my current YesTel service plan and would like to upgrade to the 3 year YesTel service plan only.
TelCom Agent: You can find more details about the YesTel",VA,139,area_code_415,yes,no,0,161.5,121,27.46,192.9,137,16.4,168.3,96,7.57,11.2,13,3.02,0,0.0,2.5999999046325684,0.4000000059604645,-0.4000000059604645,-9.313225746154785e-10,0.30822070746074365,0.16000000476837162,-0.16000000476837162,0.0074999996647238595,0.11222188316356331
311,yes,"Customer: I'm trying to cancel my contract on the 8:00 a.m. today, 10/3/00. I want to speak to Joseph, do you know where he is in the phone book?
TelCom Agent: Yes, ma'am, he's in the book. And can you please tell me what's wrong?
Customer: It says here on your website that I pay $200 a month for internet service. And I just want to cancel my contract and get the best deal.
TelCom Agent: OK, I'm sorry to hear that Maria. Can I tell you that I do not have any information on Mr. Joseph. I don't",MN,152,area_code_415,yes,yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,-0.4000000059604645,4.199999809265137,0.0,-0.699999988079071,-0.42222222354676986,0.24845199631526538,0.0,-0.4899999833106996,-0.24000000052981918,0.17243355842864272
